cluster,antecedents,consequents,antecedent_support,consequent_support,support,confidence,lift,leverage,conviction,rule_rank
3,iphone 10,bluetooth headphones,0.05287331766716514,0.06857509079256568,0.0119632557145909,0.22626262626262625,3.299487082664653,0.008337463155060882,1.2037998173829765,11
3,bluetooth headphones,iphone 10,0.06857509079256568,0.05287331766716514,0.0119632557145909,0.17445482866043616,3.299487082664653,0.008337463155060882,1.1472742076559999,12
3,iphone 10,airpods,0.05287331766716514,0.12080751976073488,0.020615253151036104,0.3898989898989899,3.227439737784566,0.01422775878214444,1.4410605222464776,13
3,airpods,iphone 10,0.12080751976073488,0.05287331766716514,0.020615253151036104,0.17064544650751548,3.2274397377845654,0.01422775878214444,1.1420045604674158,14
3,laptop,energy drink,0.04849391155735954,0.0825678273873104,0.01271095919675283,0.2621145374449339,3.1745359632075956,0.00870692227794927,1.2433259891527195,15
3,energy drink,laptop,0.0825678273873104,0.04849391155735954,0.01271095919675283,0.1539456662354463,3.174535963207595,0.00870692227794927,1.1246394592754758,16
3,iphone 10,energy drink,0.05287331766716514,0.0825678273873104,0.013779107028412733,0.2606060606060606,3.156266415774825,0.009413472061875813,1.2407894137794573,17
3,energy drink,iphone 10,0.0825678273873104,0.05287331766716514,0.013779107028412733,0.16688227684346701,3.1562664157748244,0.009413472061875813,1.1368461575206232,18
3,ring light,airpods,0.042085024567400126,0.12080751976073488,0.015274513992736594,0.36294416243654826,3.0043176381352477,0.010190326555679391,1.3800870008536672,19
3,megaman zero 2,airpods,0.03183080538346507,0.12080751976073488,0.01132236701559496,0.3557046979865772,2.9443920270117916,0.007476966365231897,1.3645799953713595,20
4,mashed potato,honey,0.04815152898219991,0.20584208124144227,0.013806481058877225,0.2867298578199052,1.3929603514044617,0.0038948701182235698,1.1134041253026954,1
4,mushroom cream sauce,bacon,0.05066179826563213,0.2162254678229119,0.015061615700593337,0.2972972972972973,1.37494116808101,0.004107244669857043,1.1153714496366256,2
4,vegetables mix,honey,0.042560474669100866,0.20584208124144227,0.011866727521679598,0.2788203753351206,1.3545353489118608,0.003105990837168192,1.1011929505462528,3
4,nonfat milk,oatmeal,0.04518484710178001,0.2091510725696029,0.012779552715654952,0.2828282828282828,1.352267905459395,0.0033290934804241484,1.1027330114874552,4
4,half-life: alyx,butter,0.02190780465540849,0.35041077133728893,0.010155180282975811,0.4635416666666667,1.3228522196895691,0.0024784495553674723,1.2108847757596168,5
4,ham,tea,0.045755362848014604,0.2059561843906892,0.012437243267914195,0.2718204488778055,1.3197974592604362,0.0030136433203256097,1.0904505823949784,6
4,sparkling water,honey,0.04678229119123688,0.20584208124144227,0.012665449566408032,0.27073170731707313,1.3152398464117676,0.003035685382360641,1.0889790859231059,7
4,barbecue sauce,tea,0.044500228206298495,0.2059561843906892,0.011980830670926517,0.2692307692307692,1.3072235243980395,0.002815733465042356,1.0865862739916883,8
4,shallot,bacon,0.04507074395253309,0.2162254678229119,0.012665449566408032,0.2810126582278481,1.2996279349387128,0.002920006870144886,1.0901089444012317,9
4,cottage cheese,bacon,0.045641259698767686,0.2162254678229119,0.012779552715654952,0.27999999999999997,1.2949445910290236,0.0029107499852618936,1.0885757391348447,10
4,cauliflower,honey,0.04119123687813784,0.20584208124144227,0.010953902327704245,0.2659279778393352,1.2919028812549522,0.002475012399799104,1.0818528629126012,11
4,burgers,milk,0.039821999087174806,0.19568690095846644,0.010041077133728891,0.2521489971346705,1.2885328343371734,0.002248433542388774,1.0754991247720123,12
4,green tea,salt,0.11261980830670927,0.1442263806481059,0.020880876312186217,0.18541033434650456,1.2855507675733908,0.00463812897082605,1.0505579133088552,13
4,protein bar,bacon,0.04643998174349612,0.2162254678229119,0.012779552715654952,0.2751842751842752,1.2726728167361412,0.002738045937480015,1.0813431681222878,14
4,ground beef,bacon,0.041077133728890915,0.2162254678229119,0.011296211775445002,0.275,1.271820580474934,0.0024142893180912495,1.0810683202442595,15
4,ham,eggs,0.045755362848014604,0.3439068918302145,0.019968051118210862,0.43640897755610975,1.2689742134378719,0.004232466496586488,1.164129806973823,16
4,burger sauce,honey,0.043359196713829304,0.20584208124144227,0.011296211775445002,0.26052631578947366,1.2656611039794607,0.0023710644829132745,1.0739502104208254,17
4,ketchup,bacon,0.04187585577361935,0.2162254678229119,0.011410314924691922,0.2724795640326975,1.260164062893172,0.0023556884195562906,1.0773230461010912,18
4,grated cheese,tea,0.045298950251026926,0.2059561843906892,0.01175262437243268,0.2594458438287154,1.2597137813378734,0.0024230254218275214,1.072229234003049,19
4,frozen smoothie,oatmeal,0.04769511638521223,0.2091510725696029,0.012551346417161114,0.2631578947368421,1.258219197748873,0.0025758616688619333,1.073294972941253,20
